City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,23.09,100,75,1.03,TO,1670261728
1,ushuaia,-54.8,-68.3,11.79,46,40,11.83,AR,1670261555
2,sao joao do paraiso,-15.3136,-42.0144,21.73,78,100,2.8,BR,1670261729
3,richards bay,-28.783,32.0377,21.26,91,100,8.2,ZA,1670261729
4,bengkulu,-3.8004,102.2655,23.66,93,100,1.67,ID,1670261730
5,miri,4.4148,114.0089,26.2,94,40,2.06,MY,1670261730
6,butaritari,3.0707,172.7902,27.13,80,82,7.8,KI,1670261731
7,tasiilaq,65.6145,-37.6368,-0.91,63,79,3.23,GL,1670261732
8,busselton,-33.65,115.3333,12.91,89,51,5.39,AU,1670261732
9,ribeira grande,38.5167,-28.7,17.22,67,20,6.71,PT,1670261733
10,labuhan,-6.8844,112.2051,26.08,86,100,2.25,ID,1670261718
11,dikson,73.5069,80.5464,-3.48,95,100,7.35,RU,1670261733
12,cancun,21.1743,-86.8466,28.96,58,40,3.6,MX,1670261734
13,tuktoyaktuk,69.4541,-133.0374,-27.0,63,20,10.8,CA,1670261734
14,arraial do cabo,-22.9661,-42.0278,28.98,58,20,9.77,BR,1670261735
15,puerto ayora,-0.7393,-90.3518,25.98,87,71,3.13,EC,1670261735
16,kuytun,54.3419,101.5036,-10.72,66,100,7.59,RU,1670261737
17,khatanga,71.9667,102.5,-31.73,100,31,1.48,RU,1670261737
18,ndola,-12.9587,28.6366,18.86,86,100,3.47,ZM,1670261738
19,cabo san lucas,22.8909,-109.9124,29.23,64,40,1.54,MX,1670261589
20,lebu,-37.6167,-73.65,17.39,68,1,3.37,CL,1670261739
21,imaculada,-7.3897,-37.5092,28.8,42,88,4.45,BR,1670261739
22,rikitea,-23.1203,-134.9692,24.01,81,78,5.88,PF,1670261740
23,ancud,-41.8697,-73.8203,12.95,95,100,8.22,CL,1670261682
24,kodiak,57.79,-152.4072,3.73,100,100,2.57,US,1670261486
25,new norfolk,-42.7826,147.0587,10.72,62,89,0.89,AU,1670261741
26,mataura,-46.1927,168.8643,10.27,100,100,1.18,NZ,1670261561
27,sao filipe,14.8961,-24.4956,22.73,67,72,2.95,CV,1670261742
28,hermanus,-34.4187,19.2345,18.22,62,72,2.37,ZA,1670261742
29,nalut,30.3333,10.85,20.13,23,23,4.66,LY,1670261743
30,ayan,56.45,138.1667,-11.88,60,100,6.24,RU,1670261662
31,hay river,60.8156,-115.7999,-27.01,69,75,8.23,CA,1670261743
32,bluff,-46.6,168.3333,10.45,87,100,3.1,NZ,1670261650
33,cherskiy,68.75,161.3,-30.23,92,59,2.22,RU,1670261744
34,yerbogachen,61.2767,108.0108,-10.86,93,100,6.56,RU,1670261745
